"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         263,      -7.651645365,      -5.775689918,      -6.772607402,      -5.842047144,      -11.27716779
          0,           0,         264,      -7.650152662,      -5.777593434,      -6.772681811,      -5.841457461,      -11.26625551
          0,           0,         265,      -7.646973715,      -5.779664326,      -6.772626121,       -5.83923354,      -11.25421747
          0,           0,         266,      -7.641939222,      -5.781919947,      -6.772472415,      -5.835188853,      -11.24093381
          0,           0,         267,      -7.635065241,      -5.784381593,      -6.772233446,       -5.82934674,      -11.22627119
          0,           0,         268,      -7.626624314,      -5.787074633,      -6.771809429,      -5.822003296,      -11.21008114
          0,           0,         269,      -7.617103596,      -5.790027743,      -6.770961774,      -5.813678645,      -11.19219807
          0,           0,         270,      -7.607079844,       -5.79327189,      -6.769355604,      -5.804981464,       -11.1724375
          0,           0,         271,       -7.59703591,      -5.796839329,      -6.766650796,      -5.796406373,      -11.15059331
          0,           0,         272,      -7.587179827,      -5.800762271,      -6.762600923,      -5.788133184,      -11.12643508
          0,           0,         273,      -7.577346093,      -5.805071082,      -6.757108604,      -5.779919571,      -11.09970503
          0,           0,         274,      -7.567025109,      -5.809792227,      -6.750210993,      -5.771138906,      -11.07149337
          0,           0,         275,      -7.615773671,      -5.811035215,      -6.775292269,       -5.82590759,      -11.06859867
          0,           0,         276,      -7.681136521,      -5.811934659,      -6.790102401,      -5.891412681,      -11.06541723
          0,           0,         277,      -7.725483425,      -5.812568007,      -6.802837222,      -5.928154434,      -11.06191833
