"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       
        188,           0,          10,      -8.420748611,      -6.638429336,      -7.228648609,      -8.901450261,      -3.997363936,     0.02319511351,       1.246169378
        189,           0,          10,      -8.421498237,      -6.642252467,      -7.236274772,      -8.903598619,      -3.998115395,     0.02317837402,       1.246055737
        190,           0,          10,      -8.418840083,      -6.646062524,      -7.244192101,      -8.905689275,      -3.998216056,      0.0231612013,       1.245937873
        191,           0,          10,      -8.415588744,      -6.649855832,      -7.252257065,      -8.907722493,      -3.997353472,     0.02314502719,       1.245823045
        192,           0,          10,      -8.412390614,      -6.653635725,      -7.260408043,      -8.909661506,      -3.994941533,     0.02313155558,       1.245719215
        193,           0,          10,      -8.408815412,      -6.657399666,      -7.268609027,      -8.911544196,      -3.990849616,     0.02312227672,       1.245633272
        194,           0,          10,      -8.405970034,      -6.661134482,      -7.276696989,      -8.913393937,      -3.985908529,     0.02311811217,       1.245569853
        195,           0,          10,      -8.405478908,      -6.664832556,      -7.284403233,      -8.915220222,      -3.981226206,     0.02311935176,       1.245531182
        196,           0,          10,      -8.405548944,      -6.668505436,      -7.291608307,      -8.917020446,      -3.977623217,      0.0231258355,       1.245517643
        197,           0,          10,      -8.400218427,      -6.672181497,      -7.298499425,      -8.918800815,      -3.975307938,     0.02313718697,       1.245528379
        198,           0,          10,       -8.38569303,       -6.67587309,      -7.305334735,      -8.920559405,      -3.974096706,     0.02315293429,       1.245561465
        199,           0,          10,      -8.366720047,       -6.67955048,      -7.312075745,      -8.922295656,       -3.97372627,      0.0231724996,       1.245613775
        200,           0,          10,      -8.352958186,      -6.683153877,      -7.318444784,      -8.924009595,      -3.973824623,     0.02319514864,       1.245680928
        201,           0,          10,      -8.351469671,      -6.686634523,      -7.324215293,      -8.925702563,      -3.974165126,     0.02321998308,       1.245757555
        202,           0,          10,      -8.363862683,      -6.689983369,      -7.329516279,      -8.927356812,      -3.974722639,     0.02324597678,       1.245837763
        203,           0,          10,      -8.387759564,      -6.693219098,      -7.334594363,       -8.92898894,      -3.975416427,     0.02327200488,       1.245915538
        204,           0,          10,       -8.41938346,       -6.69635781,      -7.339493961,      -8.930603974,      -3.976117442,     0.02329684684,        1.24598497
        205,           0,          10,       -8.45452844,      -6.699399327,      -7.344122038,      -8.932195459,      -3.976499491,     0.02331921787,       1.246040462
        206,           0,          10,      -8.486030685,      -6.702343543,       -7.34862636,      -8.933759805,      -3.976121628,     0.02333790712,       1.246077217
        207,           0,          10,      -8.501450775,      -6.705202495,      -7.353535663,      -8.935292101,      -3.975171001,     0.02335202914,       1.246092075
        208,           0,          10,      -8.491056383,      -6.707992386,       -7.35944754,      -8.936787735,      -3.974499317,     0.02336128078,        1.24608443
        209,           0,          10,      -8.460664624,      -6.710714633,      -7.366611181,       -8.93824181,      -3.974926256,       0.023366052,       1.246056722
        210,           0,          10,      -8.426067698,      -6.713355394,      -7.374874014,      -8.939651201,       -3.97651432,     0.02336731067,        1.24601415
        211,           0,          10,      -8.398925084,      -6.715907265,      -7.383996823,      -8.941014524,      -3.978544326,     0.02336630968,       1.245963607
